Smiles,Adduct,CCS
O=C(COC(=O)C1(CCCC1)CC(=O)NC(C)(C)C)NCC(=O)Nc1c(C)cc(cc1C)C,[M+H]+,214.54
O=C(Nc1ccccc1Cl)CN(C(=O)COC(=O)c1ccc(cc1)c1ccc(cc1)O)C,[M+H]+,222.67
Fc1ccc(cc1)NC(=O)CN(C(=O)COC(=O)C(C(O)C)NS(=O)(=O)c1ccc(cc1)F)C,[M+H]+,216.56
O=C(Nc1ccccc1c1ccccc1)COC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1F,[M+H]+,206.87
O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cscn1,[M+H]+,179.44
O=C(CNC(=O)C1CCCCC1)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,196.37
O=C(Nc1ccccc1c1ccccc1)COC(=O)C(NC(=O)c1ccco1)C,[M+H]+,191.33
O=C(Nc1ccccc1c1ccccc1)COC(=O)CNS(=O)(=O)c1cccs1,[M+H]+,195
COc1cccc(c1OC)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,191.65
O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cc(Cl)ccc1Cl,[M+H]+,190.82
CCC(c1ccccc1)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,184.17
CCOc1ccccc1CCC(=O)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,196.11
O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cccc(c1)N(C)C,[M+H]+,197.24
CNS(=O)(=O)c1cccc(c1)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,201
CCOc1cc(ccc1OCC)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,211.38
O=C(Nc1ccccc1c1ccccc1)COC(=O)c1nn(C)c(=O)c2c1cccc2,[M+H]+,196.53
O=C(Nc1ccccc1c1ccccc1)COC(=O)c1cnc(cn1)C,[M+H]+,181.97
CCc1c(cnc2n1ncn2)C(=O)OCC(=O)Nc1ccccc1c1ccccc1,[M+H]+,190.08
O=C(CN(c1ncccn1)C)OCC(=O)Nc1ccc(cc1)c1ccccc1,[M+H]+,196.31
O=C(Nc1ccc(cc1)c1ccccc1)COC(=O)C=Cc1ccco1,[M+H]+,186.85
O=C(Nc1ccc(cc1)c1ccccc1)COC(=O)c1c(C)noc1C,[M+H]+,173.99
O=C(Nc1ccc(cc1)c1ccccc1)COC(=O)C12CC3CC(C1)CC(C2)(C3)NC(=O)C,[M+H]+,215.92
O=C(Nc1ccc(cc1)c1ccccc1)COC(=O)c1nccnc1N,[M+H]+,189.5
O=C(Nc1ccc(cc1)c1ccccc1)COC(=O)C12CC3CC(C1)CC(C2)(C3)O,[M+H]+,205.29
O=C(Nc1ccc(cc1)c1ccccc1)COC(=O)C1=COCCO1,[M+H]+,180.61
O=C(N(C1CC1)Cc1nnc(o1)c1ccccc1Cl)CSC(=S)N1CCCC1,[M+H]+,197.49
CN(Cc1c(C)nn(c1C)Cc1ccccc1Cl)Cc1onc(n1)c1ccc(cc1)C,[M+H]+,195.14
Cc1nn(c(c1CNCc1cccnc1)C)Cc1ccccc1Cl,[M+H]+,170.51
O=C(Nc1ccccc1C(=O)Nc1ccc2c(c1)OCO2)COC(=O)c1nc2n(n1)c(C)cc(n2)C,[M+H]+,206.74
FC(Oc1ccccc1c1noc(n1)CNCCc1ccc(cc1)F)F,[M+H]+,184.09
CCN(c1ccc(cc1)NC(=O)COC(=O)c1ccc(s1)C)C(C)C,[M+H]+,198.63
COc1cc(CN(Cc2nc3c(s2)cccc3)C)c(cc1OC)C,[M+H]+,180.68
COc1ccc(cc1OC)c1nn(cc1C(=O)OCc1cc(=O)n(c(=O)n1C)C)Cc1ccccc1,[M+H]+,221.83
Fc1ccc(c(c1)Cl)C(=O)OCN1C(=O)c2c(C1=O)cccc2,[M+H]+,182.77
COc1cccc(c1O)C(=O)OCN1C(=O)c2c(C1=O)cccc2,[M+H]+,173.89
O=C(C1CCN(CC1)S(=O)(=O)C)OCc1cn(nc1c1ccccc1)c1ccccc1,[M+H]+,197.4
COc1cccc(c1)NC(=O)CC1(CCCCC1)CC(=O)O,[M+H]+,175.43
Clc1ccc(cc1)C1(CCC1)C(=O)OCc1nnnn1c1ccccc1,[M+H]+,183.58
Fc1ccc(cc1)n1nc(nc1c1cccs1)C(=O)OCc1nnnn1c1ccccc1,[M+H]+,204.43
O=C(c1cnn(c1C)C)OCc1nnnn1c1ccccc1,[M+H]+,178.96
CCn1cc(C(=O)OCc2nnnn2c2ccccc2)c(=O)c2c1nc(C)cc2,[M+H]+,196.28
