Smiles,Adduct,CCS,Predicted_CCS,m/z,Cluster
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCC,[M+CH3COO]-,296.94,293.50952,856.6428408,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,[M+H]+,283.8,272.37872,716.523005,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+HCOO]-,301.44,299.5136,832.6862753,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O,[M+H]+,291.7,288.60254,818.5699551,6
CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC)CO[P]([O-])(=O)OCC(O)COC(=O)C(N)CCCC[NH3+],[M+H]+,290.4,290.75635,823.5812481,6
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,[M+Na]+,218.46,210.44998,393.2981098,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCC)=O,[M+CH3COO]-,289.1,285.93472,818.5908052,6
C(OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,[M+NH4]+,305.76,308.02332,778.7050407,6
CCCCCCCCCCCCCCCC(=O)OCC(CO[P](O)(=O)OCC(O)CO[P](O)(=O)OCC(COC(=O)CCCCCCCC1CC1CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,[M+2K]2+,428.6,421.41357,733.5844132,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCCCCCCCCC)=O,[M+CH3COO]-,231.6,230.32642,540.3298395,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O,[M+Na]+,292.69,295.24042,830.5676052,6
C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,[M+NH4]+,331.34,331.93192,932.783291,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCCCC,[M-H]-,276.63,277.23642,782.6063907,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,[M-H]-,273.3,272.25098,768.5543552,6
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O)(=O)O,[M-H]-,265.6,259.17438,693.4706851,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(O)COC(CCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M-H]-,228.59,226.96823,552.3301689,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M+2Na-H]+,306.07,307.02054,916.6020347,6
C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CC=CCC=CCC=CCCCCCCC)=O)COC(CC=CCC=CCC=CCCCCCCC)=O,[M+NH4]+,296.3,299.037,908.5497219,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O,[M+CH3COO]-,296.18,294.60495,882.6221053,6
C(OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O,[M+NH4]+,311.67,312.66656,804.7206908,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCCCCC)=O,[M+CH3COO]-,285.78,286.07104,806.5908052,6
[C@](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC,[M+Na]+,291.27,293.21185,780.6329687,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O,[M+H]+,301.27,300.94574,862.6325554,6
CCCCCCCCC1CC1CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCC)CO[P](O)(O)=O,[M-H]-,256.82,257.1329,685.4808559,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O,[M-H]-,252.76,254.50954,686.4761048,6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O,[M+H]+,284.65,283.92062,810.5284843,6
CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,[M+Na]+,306.6,304.75635,885.6737114,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,[M+H]+,290.85,289.4726,818.5699551,6
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCC)=O,[M+H]+,295.3,284.18237,758.5699551,6
C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O,[M+NH4]+,324.85,325.01495,904.7519909,6
[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O,[M-H]-,212.42,213.60957,507.2723196,6
CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,[M+Na]+,220.94,225.6583,441.2981098,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCC)=O,[M+H]+,277.4,280.26282,746.5699551,6
CCCCCCCCCCCCCCC(=O)O[C@H](CO)CO[P]([O-])(=O)OCC[NH3+],[M-H]-,202.25,203.45155,438.2620893,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O,[M-H]-,277.5,275.7266,792.5543552,6
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC,[M+H]+,297.6,283.9356,756.5906906,6
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,[M+Na]+,243.0666667,239.52191,546.3535897,6
